name_vacancy,min_vacancy_compensation,max_vacancy_compensation,currency_vacancy_compensation,link_vacancy,vacancy_employer,vacancy_address
Product Manager проекта «ИСКРА»,,,,https://krasnoyarsk.hh.ru/vacancy/76244385?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
Разработчик Python,,,,https://krasnoyarsk.hh.ru/vacancy/75944292?from=vacancy_search_list&query=Data+science,ПАО Ростелеком,Москва
Senior Data scientist (Управление рисками корпоративных клиентов),,,,https://krasnoyarsk.hh.ru/vacancy/72421275?from=vacancy_search_list&query=Data+science,Сбер. Data Science,"Москва, Кутузовская и еще 1 "
Системный аналитик (Цифровые платформы образования),,,,https://krasnoyarsk.hh.ru/vacancy/76232229?from=vacancy_search_list&query=Data+science,SberTech,"Москва, Тульская"
Главный специалист отдела анализа качества данных / Data steward,,,,https://krasnoyarsk.hh.ru/vacancy/76270153?from=vacancy_search_list&query=Data+science,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,Москва
Requirements and Specification Engineer (RSE),,,,https://krasnoyarsk.hh.ru/vacancy/72822748?from=vacancy_search_list&query=Data+science,YADRO,"Москва, Краснопресненская и еще 1 "
Старший аналитик (DS HR-модели),,,,https://krasnoyarsk.hh.ru/vacancy/75636463?from=vacancy_search_list&query=Data+science, Альфа-Банк,"Москва, Технопарк"
R&D Team Lead,,,,https://krasnoyarsk.hh.ru/vacancy/72410609?from=vacancy_search_list&query=Data+science,Flocktory,Москва
UA Lead (GameDev),,,,https://krasnoyarsk.hh.ru/vacancy/76042032?from=vacancy_search_list&query=Data+science,CM Games,Москва
Координатор проектов,,,,https://krasnoyarsk.hh.ru/vacancy/76860598?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
PR-менеджер,,,,https://krasnoyarsk.hh.ru/vacancy/76519002?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
Директор направления продуктов для среднего бизнеса (Банк),,,,https://krasnoyarsk.hh.ru/vacancy/76010254?from=vacancy_search_list&query=Data+science,IDF Eurasia,Москва
"Front End Developer, to Armenia",,,,https://krasnoyarsk.hh.ru/vacancy/76377453?from=vacancy_search_list&query=Data+science,SCHNEIDER GROUP,Москва
Linux system administrator,,,,https://krasnoyarsk.hh.ru/vacancy/76300513?from=vacancy_search_list&query=Data+science,the_covert,Москва
Ведущий инженер-конструктор в команду робототехники Маркета,,,,https://krasnoyarsk.hh.ru/vacancy/76445720?from=vacancy_search_list&query=Data+science,Яндекс,Москва
Руководитель Службы внутреннего аудита (СВА),,,,https://krasnoyarsk.hh.ru/vacancy/75986075?from=vacancy_search_list&query=Data+science,IDF Eurasia,Москва
Младший специалист по документообороту,17000.0,,руб.,https://krasnoyarsk.hh.ru/vacancy/76006127?from=vacancy_search_list&query=Data+science,ООО Отус,Москва
Специалист по кадровому администрированию,85000.0,,руб.,https://krasnoyarsk.hh.ru/vacancy/75605151?from=vacancy_search_list&query=Data+science,IDF Eurasia,Москва
Специалист первой линии поддержки,40000.0,46700.0,руб.,https://krasnoyarsk.hh.ru/vacancy/76783468?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
Бизнес Ассистент / Операционный менеджер,,,,https://krasnoyarsk.hh.ru/vacancy/76772255?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
